rank,score,year,tags,query,title,venue,doi,url,type,abstract
1365,4,,,robot manipulation scaling,Scaling issues in robot-based sensing missions,Proceedings of the 20th IEEE Instrumentation Technology Conference (Cat. No.03CH37412),10.1109/imtc.2003.1207999,https://doi.org/10.1109/imtc.2003.1207999,proceedings-article,
1366,4,,,robot tactile perception,Shapes reconstruction from robot tactile sensing,,10.31274/rtd-20200616-81,https://doi.org/10.31274/rtd-20200616-81,dissertation,
1367,4,,,contact-rich manipulation,Should We Learn Contact-Rich Manipulation Policies From Sampling-Based Planners?_supp1-3564701.mp4,,10.1109/lra.2025.3564701/mm1,https://doi.org/10.1109/lra.2025.3564701/mm1,component,
1368,4,,,multimodal robot learning,Simultaneous Tactile-Visual Perception for Learning Multimodal Robot Manipulation_supp1-3671701.mp4,,10.1109/lra.2026.3671701/mm1,https://doi.org/10.1109/lra.2026.3671701/mm1,component,
1369,4,,,contact-rich manipulation,Simultaneous Trajectory Optimization and Contact Selection for Contact-rich Manipulation with High-Fidelity Geometry_supp1-3554380.mp4,,10.1109/tro.2025.3554380/mm1,https://doi.org/10.1109/tro.2025.3554380/mm1,component,
1370,4,,,robot tactile perception,Tactile gestures for human/robot interaction,Proceedings 1995 IEEE/RSJ International Conference on Intelligent Robots and Systems. Human Robot Interaction and Cooperative Robots,10.1109/iros.1995.525854,https://doi.org/10.1109/iros.1995.525854,proceedings-article,
1371,4,,,robot tactile perception,Tactile sensing in fine motion robot tasks,Proceedings of the 1992 IEEE International Symposium on Intelligent Control,10.1109/isic.1992.225068,https://doi.org/10.1109/isic.1992.225068,proceedings-article,
1372,4,,,robot tactile perception,Tactile sensor for geometric profile perception,"Proceedings IECON '91: 1991 International Conference on Industrial Electronics, Control and Instrumentation",10.1109/iecon.1991.239172,https://doi.org/10.1109/iecon.1991.239172,proceedings-article,
1373,4,,,robot manipulation scaling,Time scaling of cooperative multi-robot trajectories,"Proceedings., IEEE International Conference on Robotics and Automation",10.1109/robot.1990.126029,https://doi.org/10.1109/robot.1990.126029,proceedings-article,
1374,4,,,robot reinforcement learning,Using reinforcement learning in multi-robot SLAM,,10.22215/etd/2011-07380,https://doi.org/10.22215/etd/2011-07380,dissertation,
1375,4,,,contact-rich manipulation,VIII. Manipulation et entretien des verres de contact,Les verres de contact,10.1159/000393939,https://doi.org/10.1159/000393939,book-chapter,
1376,4,,,robot reinforcement learning,Virtual Robot Climbing using Reinforcement Learning,,10.31979/etd.u9xe-s6yw,https://doi.org/10.31979/etd.u9xe-s6yw,dissertation,
1377,4,,,robot tactile perception,"Vision-based Proximity and Tactile Sensing for Robot Arms: Design, Perception, and Control_supp1-3593087.mp4",,10.1109/tro.2025.3593087/mm1,https://doi.org/10.1109/tro.2025.3593087/mm1,component,
1378,4,,,robot reinforcement learning,Vision-based reinforcement learning for robot navigation,IJCNN'01. International Joint Conference on Neural Networks. Proceedings (Cat. No.01CH37222),10.1109/ijcnn.2001.939501,https://doi.org/10.1109/ijcnn.2001.939501,proceedings-article,
1379,3,2026,,vision language action robotics,A Dual-System Vision-Language-Action Model for Rational Manipulation,IEEE/ASME Transactions on Mechatronics,10.1109/tmech.2026.3658581,https://doi.org/10.1109/tmech.2026.3658581,journal-article,
1380,3,2026,,robot foundation model,A Foundation Model for Geochemical Anomaly Identification,Natural Resources Research,10.1007/s11053-026-10664-5,https://doi.org/10.1007/s11053-026-10664-5,journal-article,
1381,3,2026,,robot foundation model,A foundation model for nucleotide sequences,Nucleic Acids Research,10.1093/nar/gkag083,https://doi.org/10.1093/nar/gkag083,journal-article,"<jats:title>Abstract</jats:title>
                  <jats:p>Foundation models have demonstrated exceptional performance across diverse downstream tasks. However, in genomics and transcriptomics, the integration of nucleotide sequences with their rich annotations remains underexplored, potentially limiting model generalizability across species and biological contexts. Here, we introduce OmniNA (Omni-applicable foundation model for nucleic acid), a self-supervised generative foundation model train"
1382,3,2026,,multimodal robot learning,A Progressive Multimodal Robot System for Emotional Learning in Autistic Children,Lecture Notes in Computer Science Social Robotics + AI,10.1007/978-981-95-2379-5_46,https://doi.org/10.1007/978-981-95-2379-5_46,book-chapter,
1383,3,2026,,robot self-supervised learning,A Self-Supervised Learning Framework for Soft Robot Proprioception,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2025.3610759,https://doi.org/10.1109/tnnls.2025.3610759,journal-article,
1384,3,2026,,robot locomotion scaling,A Soft Ring Robot for Adaptive Locomotion,,10.2139/ssrn.6854198,https://doi.org/10.2139/ssrn.6854198,posted-content,"<jats:p>This paper presents the design and experimental validation of a soft robotic ring that achieves planar locomotion by combining wheel-like efficiency with structural adaptability. In contrast to rigid or hybrid wheel designs that embed soft actuation within a fixed load-bearing frame, the presented system treats the wheel itself as a fully deformable structural element. A pneumatically actuated elastomeric ring is coupled to a rigid internal cart containing most of the system’s mass. Loco"
1385,3,2026,,multimodal robot learning,A Survey on Deep Generative Models for Robot Learning From Multimodal Demonstrations,IEEE Transactions on Robotics,10.1109/tro.2025.3631816,https://doi.org/10.1109/tro.2025.3631816,journal-article,
1386,3,2026,,vision language action robotics,Aerial Video Action Recognition with Pretrained Vision-Language Model,"ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/icassp55912.2026.11462828,https://doi.org/10.1109/icassp55912.2026.11462828,proceedings-article,
1387,3,2026,,robot foundation model,AIware in the Foundation Model Era,IEEE Software,10.1109/ms.2025.3624446,https://doi.org/10.1109/ms.2025.3624446,journal-article,
1388,3,2026,,vision language action robotics,BLURR: A Boosted Low-Resource Inference for Vision-Language-Action Model,Companion Proceedings of the ACM Web Conference 2026,10.1145/3774905.3793142,https://doi.org/10.1145/3774905.3793142,proceedings-article,
1389,3,2026,,vision language action robotics,Computer Vision and Robotics,Lecture Notes in Networks and Systems,10.1007/978-3-032-14041-8,https://doi.org/10.1007/978-3-032-14041-8,book,
1390,3,2026,,vision language action robotics,Computer Vision and Robotics,Lecture Notes in Networks and Systems,10.1007/978-3-032-14038-8,https://doi.org/10.1007/978-3-032-14038-8,book,
1391,3,2026,,vision language action robotics,Computer Vision and Robotics,Lecture Notes in Networks and Systems,10.1007/978-3-032-06253-6,https://doi.org/10.1007/978-3-032-06253-6,book,
1392,3,2026,,vision language action robotics,Computer Vision and Robotics,Lecture Notes in Networks and Systems,10.1007/978-3-032-06250-5,https://doi.org/10.1007/978-3-032-06250-5,book,
1393,3,2026,,vision language action robotics,Computer Vision and Robotics,Lecture Notes in Networks and Systems,10.1007/978-3-032-14044-9,https://doi.org/10.1007/978-3-032-14044-9,book,
1394,3,2026,,robot self-supervised learning,Conditional Self-Supervised Learning for Few-Shot Learning,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2026.3670944,https://doi.org/10.1109/tcsvt.2026.3670944,journal-article,
1395,3,2026,,vision language action robotics,Context-Aware Vision Language Model for Action Recognition,Lecture Notes in Computer Science Advanced Concepts for Intelligent Vision Systems,10.1007/978-3-032-07343-3_16,https://doi.org/10.1007/978-3-032-07343-3_16,book-chapter,
1396,3,2026,,vision language action robotics,CorrectNav: Self-Correction Flywheel Empowers Vision-Language-Action Navigation Model,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i22.38942,https://doi.org/10.1609/aaai.v40i22.38942,journal-article,"<jats:p>Existing vision-and-language navigation models often deviate from the correct trajectory when executing instructions. However, these models lack effective error correction capability, hindering their recovery from errors. To address this challenge, we propose Self-correction Flywheel, a novel post-training paradigm. Instead of considering the model’s error trajectories on the training set as a drawback, our paradigm emphasizes their significance as a valuable data source. We have develop"
1397,3,2026,,robot grasping learning,Deep learning-driven industrial robot visual grasping system modelling and optimization,"International Conference on Computer Vision, Pattern Recognition, and Detection (ICVPRD 2025)",10.1117/12.3102191,https://doi.org/10.1117/12.3102191,proceedings-article,
1398,3,2026,,multimodal robot learning,Deep Multimodal Imitation Learning-Based Framework for Robot-Assisted Medical Examination,IEEE Transactions on Industrial Electronics,10.1109/tie.2025.3589442,https://doi.org/10.1109/tie.2025.3589442,journal-article,
1399,3,2026,,robot 3D perception,Design of Robust 3D Vision Perception and Safe Interaction System for Collaborative Human-Robot Robots,2026 5th International Conference on Electronics Technology and Artificial Intelligence (ETAI),10.1109/etai68332.2026.11485269,https://doi.org/10.1109/etai68332.2026.11485269,proceedings-article,
1400,3,2026,,vision language action robotics,Digital Hieroglyphs: Orthogonal Composite Tokens for Vision-Language-Action Models,,10.36227/techrxiv.177041993.34852680/v1,https://doi.org/10.36227/techrxiv.177041993.34852680/v1,posted-content,
1401,3,2026,,vision language action robotics,Dynamic Maclaurin-Series-Based Vision-Language-Action Model,IEEE Robotics and Automation Letters,10.1109/lra.2026.3683324,https://doi.org/10.1109/lra.2026.3683324,journal-article,
1402,3,2026,,robot foundation model,FAM-HRI: Foundation-Model Assisted Multimodal Human–Robot Interaction Combining Gaze and Speech,IEEE Transactions on Automation Science and Engineering,10.1109/tase.2026.3695438,https://doi.org/10.1109/tase.2026.3695438,journal-article,
1403,3,2026,,vision language action robotics,From language to action: a hierarchical multimodal framework for autonomous robotics in open environments,IET Conference Proceedings,10.1049/icp.2026.1888,https://doi.org/10.1049/icp.2026.1888,journal-article,
1404,3,2026,,multimodal robot learning,From traditional to robot-assisted learning: a multimodal robot-assisted learning framework for enhancing english acquisition in korean preschoolers,Intelligent Service Robotics,10.1007/s11370-025-00685-z,https://doi.org/10.1007/s11370-025-00685-z,journal-article,
1405,3,2026,,vision language action robotics,GenACT: Towards Unified Vision-Language-Action Co-training for Robot Manipulation,Lecture Notes in Computer Science Pattern Recognition and Computer Vision,10.1007/978-981-95-5764-6_22,https://doi.org/10.1007/978-981-95-5764-6_22,book-chapter,
1406,3,2026,,vision language action robotics,Hierarchical Vision-Language Interaction for Facial Action Unit Detection,IEEE Transactions on Affective Computing,10.1109/taffc.2026.3665903,https://doi.org/10.1109/taffc.2026.3665903,journal-article,
1407,3,2026,,robot policy foundation model,HUDERIA Model as a Foundation for Shaping Artificial Intelligence Risk Management Policy in Ukraine,Strategy of Economic Development of Ukraine,10.33111/sedu.2026.58.085.096,https://doi.org/10.33111/sedu.2026.58.085.096,journal-article,
1408,3,2026,,robot grasping learning,Humanoid Robot Walking and Grasping Method Using Similarity Reward-Augmented Generative Adversarial Imitation Learning,Sensors,10.3390/s26092756,https://doi.org/10.3390/s26092756,journal-article,"<jats:p>This study aims to enhance the precision of humanoid robots in imitating complex human “walking–grasping” coordinated movements. Addressing limitations in sample efficiency and reward function design in Generative Adversarial Imitation Learning (GAIL), we propose the Similarity Reward-Augmented Generative Adversarial Imitation Learning (SRA-GAIL) framework. The method integrates plantar thin-film resistive pressure sensors to measure the real-time pressure distribution at four key points"
